employee_id,age,years_experience,salary_usd,performance_score,satisfaction_score,remote_days_per_week,projects_completed,training_hours,department,city
1000,24,4,15716.13,90.1,58.8,2,13,39.3,HR,Rosario
1001,54,36,81680.28,95.6,69.4,1,8,24.3,Finance,Rosario
1002,49,24,72280.02,77.3,65.5,3,6,26.4,HR,Buenos Aires
1003,39,13,38975.2,68.6,79.8,4,5,35.4,HR,Buenos Aires
1004,39,12,42424.5,72.8,80.2,1,7,58.9,Finance,Buenos Aires
1005,58,29,83820.38,79.7,48.0,0,7,47.1,Finance,Rosario
1006,23,0,19768.41,59.4,82.5,0,7,38.6,IT,Buenos Aires
1007,51,24,71590.89,69.3,62.7,0,6,36.0,Marketing,Córdoba
1008,29,3,54290.93,89.3,72.8,2,8,22.5,Finance,Buenos Aires
1009,24,3,27822.12,64.5,58.7,5,1,26.5,Finance,Buenos Aires
1010,43,15,69690.07,67.5,74.5,1,15,42.3,IT,Mendoza
1011,63,45,114390.55,75.1,100.6,2,6,40.1,IT,Buenos Aires
1012,53,28,53391.37,77.8,71.5,4,5,51.7,Finance,Mendoza
1013,54,25,53467.94,68.7,64.5,3,7,36.8,Marketing,Mendoza
1014,52,27,61096.06,75.8,67.2,1,7,48.5,Marketing,Rosario
1015,55,26,58977.48,81.1,52.4,0,6,17.0,IT,Mendoza
1016,43,25,68645.65,94.6,87.4,0,7,25.8,Finance,Mendoza
1017,25,1,36019.66,73.7,73.8,1,8,44.0,IT,Córdoba
1018,57,30,97827.38,74.6,57.4,0,5,40.2,Finance,Córdoba
1019,40,15,56622.63,90.3,57.8,2,11,51.1,Marketing,Rosario
1020,42,14,43514.81,69.5,70.2,3,6,57.6,Sales,Mendoza
1021,36,13,17166.38,61.8,81.2,4,8,58.3,Finance,Mendoza
1022,28,2,29658.84,77.5,56.2,5,12,63.8,Finance,Córdoba
1023,61,38,93786.55,85.8,83.4,1,9,67.3,Finance,Buenos Aires
1024,55,27,76343.93,78.6,68.9,3,10,34.7,IT,Rosario
1025,48,29,108793.6,74.0,58.8,5,5,74.5,HR,Rosario
1026,38,17,74208.95,60.5,64.4,0,8,83.3,HR,Mendoza
1027,57,38,105175.91,74.4,91.0,4,10,20.5,Finance,Córdoba
1028,44,18,42968.84,87.3,53.3,0,3,31.2,IT,Córdoba
1029,39,19,51505.08,62.7,61.2,3,5,45.4,IT,Buenos Aires
1030,40,19,57777.33,72.6,81.4,4,7,43.5,HR,Buenos Aires
1031,30,2,16968.89,71.1,72.6,2,11,14.7,IT,Córdoba
1032,24,2,36106.97,68.0,60.5,3,6,25.8,Marketing,Córdoba
1033,44,25,75353.63,77.5,81.6,3,10,43.3,Sales,Mendoza
1034,59,41,82475.38,79.4,82.1,3,7,36.7,Marketing,Mendoza
1035,22,2,46552.25,79.3,74.0,4,7,49.3,HR,Rosario
1036,58,30,80534.66,65.2,62.7,5,9,69.3,Marketing,Buenos Aires
1037,57,33,58463.93,58.5,64.5,0,11,21.3,Sales,Rosario
1038,32,3,29629.86,77.6,73.4,2,6,74.7,Sales,Buenos Aires
1039,48,28,79618.1,69.9,54.3,5,12,68.2,Finance,Rosario
1040,27,5,48591.89,93.4,85.9,2,11,14.1,Finance,Córdoba
1041,54,35,82937.85,93.8,90.4,2,6,22.1,IT,Córdoba
1042,51,29,89619.07,94.9,67.2,4,11,33.9,Finance,Córdoba
1043,35,11,47607.13,65.6,74.3,5,10,25.7,IT,Mendoza
1044,23,0,5274.18,80.7,84.2,1,11,48.7,HR,Buenos Aires
